start in 10
0 -> 1 40
0 -> 2 58
0 -> 3 39
0 -> 4 42
0 -> 5 19
0 -> 6 11
0 -> 7 2
0 -> 8 73
0 -> 9 8
0 -> 10 68
0 -> 11 109
1 -> 0 116
1 -> 2 48
1 -> 3 85
1 -> 4 49
1 -> 5 18
1 -> 6 91
1 -> 7 69
1 -> 8 61
1 -> 9 34
1 -> 10 120
1 -> 11 110
2 -> 0 102
2 -> 1 20
2 -> 3 124
2 -> 4 137
2 -> 5 113
2 -> 6 114
2 -> 7 79
2 -> 8 119
2 -> 9 92
2 -> 10 139
2 -> 11 37
3 -> 0 106
3 -> 1 89
3 -> 2 53
3 -> 4 88
3 -> 5 138
3 -> 6 16
3 -> 7 130
3 -> 8 72
3 -> 9 15
3 -> 10 45
3 -> 11 24
4 -> 0 12
4 -> 1 136
4 -> 2 121
4 -> 3 66
4 -> 5 129
4 -> 6 38
4 -> 7 83
4 -> 8 112
4 -> 9 94
4 -> 10 105
4 -> 11 51
5 -> 0 57
5 -> 1 132
5 -> 2 84
5 -> 3 95
5 -> 4 54
5 -> 6 28
5 -> 7 103
5 -> 8 21
5 -> 9 90
5 -> 10 75
5 -> 11 33
6 -> 0 74
6 -> 1 13
6 -> 2 44
6 -> 3 62
6 -> 4 71
6 -> 5 133
6 -> 7 100
6 -> 8 82
6 -> 9 52
6 -> 10 63
6 -> 11 86
7 -> 0 118
7 -> 1 97
7 -> 2 3
7 -> 3 123
7 -> 4 128
7 -> 5 26
7 -> 6 65
7 -> 8 87
7 -> 9 22
7 -> 10 30
7 -> 11 41
8 -> 0 144
8 -> 1 134
8 -> 2 93
8 -> 3 59
8 -> 4 98
8 -> 5 23
8 -> 6 50
8 -> 7 142
8 -> 9 31
8 -> 10 10
8 -> 11 46
9 -> 0 4
9 -> 1 107
9 -> 2 17
9 -> 3 143
9 -> 4 78
9 -> 5 141
9 -> 6 111
9 -> 7 77
9 -> 8 101
9 -> 10 108
9 -> 11 60
10 -> 0 29
10 -> 1 76
10 -> 2 81
10 -> 3 64
10 -> 4 6
10 -> 5 1
10 -> 6 127
10 -> 7 55
10 -> 8 126
10 -> 9 96
10 -> 11 117
11 -> 0 56
11 -> 1 67
11 -> 2 25
11 -> 3 125
11 -> 4 35
11 -> 5 104
11 -> 6 7
11 -> 7 131
11 -> 8 122
11 -> 9 14
11 -> 10 80
