start in 2
0 -> 1 111
0 -> 2 154
0 -> 3 36
0 -> 4 158
0 -> 5 156
0 -> 6 149
0 -> 7 117
0 -> 8 221
0 -> 9 199
0 -> 10 126
0 -> 11 49
0 -> 12 89
0 -> 13 194
0 -> 14 178
0 -> 15 230
1 -> 0 167
1 -> 2 205
1 -> 3 214
1 -> 4 14
1 -> 5 40
1 -> 6 105
1 -> 7 129
1 -> 8 190
1 -> 9 31
1 -> 10 51
1 -> 11 198
1 -> 12 213
1 -> 13 133
1 -> 14 24
1 -> 15 21
2 -> 0 139
2 -> 1 100
2 -> 3 224
2 -> 4 101
2 -> 5 22
2 -> 6 97
2 -> 7 174
2 -> 8 187
2 -> 9 60
2 -> 10 103
2 -> 11 256
2 -> 12 226
2 -> 13 235
2 -> 14 99
2 -> 15 41
3 -> 0 94
3 -> 1 115
3 -> 2 124
3 -> 4 127
3 -> 5 62
3 -> 6 240
3 -> 7 76
3 -> 8 121
3 -> 9 109
3 -> 10 52
3 -> 11 176
3 -> 12 255
3 -> 13 222
3 -> 14 65
3 -> 15 241
4 -> 0 206
4 -> 1 32
4 -> 2 20
4 -> 3 84
4 -> 5 1
4 -> 6 223
4 -> 7 185
4 -> 8 180
4 -> 9 245
4 -> 10 143
4 -> 11 93
4 -> 12 254
4 -> 13 242
4 -> 14 179
4 -> 15 186
5 -> 0 120
5 -> 1 196
5 -> 2 148
5 -> 3 54
5 -> 4 134
5 -> 6 96
5 -> 7 107
5 -> 8 204
5 -> 9 135
5 -> 10 114
5 -> 11 217
5 -> 12 42
5 -> 13 191
5 -> 14 132
5 -> 15 39
6 -> 0 237
6 -> 1 69
6 -> 2 34
6 -> 3 57
6 -> 4 172
6 -> 5 152
6 -> 7 116
6 -> 8 123
6 -> 9 10
6 -> 10 2
6 -> 11 159
6 -> 12 202
6 -> 13 23
6 -> 14 46
6 -> 15 203
7 -> 0 234
7 -> 1 71
7 -> 2 181
7 -> 3 73
7 -> 4 166
7 -> 5 193
7 -> 6 86
7 -> 8 17
7 -> 9 247
7 -> 10 218
7 -> 11 146
7 -> 12 92
7 -> 13 169
7 -> 14 189
7 -> 15 141
8 -> 0 236
8 -> 1 67
8 -> 2 59
8 -> 3 102
8 -> 4 26
8 -> 5 78
8 -> 6 58
8 -> 7 88
8 -> 9 68
8 -> 10 147
8 -> 11 48
8 -> 12 177
8 -> 13 250
8 -> 14 140
8 -> 15 66
9 -> 0 25
9 -> 1 61
9 -> 2 157
9 -> 3 15
9 -> 4 55
9 -> 5 28
9 -> 6 104
9 -> 7 211
9 -> 8 184
9 -> 10 98
9 -> 11 248
9 -> 12 249
9 -> 13 244
9 -> 14 79
9 -> 15 137
10 -> 0 210
10 -> 1 182
10 -> 2 11
10 -> 3 3
10 -> 4 253
10 -> 5 85
10 -> 6 183
10 -> 7 108
10 -> 8 201
10 -> 9 75
10 -> 11 164
10 -> 12 227
10 -> 13 30
10 -> 14 219
10 -> 15 50
11 -> 0 27
11 -> 1 113
11 -> 2 212
11 -> 3 63
11 -> 4 7
11 -> 5 208
11 -> 6 216
11 -> 7 160
11 -> 8 195
11 -> 9 119
11 -> 10 220
11 -> 12 163
11 -> 13 47
11 -> 14 74
11 -> 15 239
12 -> 0 171
12 -> 1 151
12 -> 2 168
12 -> 3 165
12 -> 4 155
12 -> 5 53
12 -> 6 150
12 -> 7 243
12 -> 8 110
12 -> 9 138
12 -> 10 142
12 -> 11 80
12 -> 13 87
12 -> 14 225
12 -> 15 91
13 -> 0 4
13 -> 1 90
13 -> 2 128
13 -> 3 82
13 -> 4 209
13 -> 5 44
13 -> 6 251
13 -> 7 35
13 -> 8 246
13 -> 9 122
13 -> 10 13
13 -> 11 173
13 -> 12 175
13 -> 14 33
13 -> 15 136
14 -> 0 238
14 -> 1 56
14 -> 2 64
14 -> 3 228
14 -> 4 43
14 -> 5 233
14 -> 6 12
14 -> 7 29
14 -> 8 77
14 -> 9 231
14 -> 10 232
14 -> 11 112
14 -> 12 130
14 -> 13 9
14 -> 15 161
15 -> 0 125
15 -> 1 70
15 -> 2 45
15 -> 3 200
15 -> 4 6
15 -> 5 207
15 -> 6 18
15 -> 7 37
15 -> 8 118
15 -> 9 19
15 -> 10 5
15 -> 11 145
15 -> 12 188
15 -> 13 215
15 -> 14 81
