start in 9
0 -> 1 288
0 -> 2 357
0 -> 3 211
0 -> 4 276
0 -> 5 278
0 -> 6 176
0 -> 7 265
0 -> 8 2
0 -> 9 281
0 -> 10 195
0 -> 11 91
0 -> 12 62
0 -> 13 233
0 -> 14 99
0 -> 15 329
0 -> 16 279
0 -> 17 330
0 -> 18 207
0 -> 19 266
1 -> 0 165
1 -> 2 86
1 -> 3 383
1 -> 4 97
1 -> 5 248
1 -> 6 226
1 -> 7 23
1 -> 8 354
1 -> 9 162
1 -> 10 228
1 -> 11 307
1 -> 12 342
1 -> 13 202
1 -> 14 336
1 -> 15 237
1 -> 16 247
1 -> 17 280
1 -> 18 245
1 -> 19 84
2 -> 0 30
2 -> 1 143
2 -> 3 141
2 -> 4 223
2 -> 5 47
2 -> 6 186
2 -> 7 309
2 -> 8 124
2 -> 9 163
2 -> 10 22
2 -> 11 222
2 -> 12 221
2 -> 13 95
2 -> 14 259
2 -> 15 94
2 -> 16 388
2 -> 17 145
2 -> 18 220
2 -> 19 137
3 -> 0 236
3 -> 1 270
3 -> 2 397
3 -> 4 75
3 -> 5 400
3 -> 6 107
3 -> 7 240
3 -> 8 390
3 -> 9 284
3 -> 10 262
3 -> 11 187
3 -> 12 369
3 -> 13 96
3 -> 14 173
3 -> 15 93
3 -> 16 142
3 -> 17 140
3 -> 18 170
3 -> 19 253
4 -> 0 382
4 -> 1 56
4 -> 2 362
4 -> 3 133
4 -> 5 44
4 -> 6 87
4 -> 7 105
4 -> 8 85
4 -> 9 11
4 -> 10 26
4 -> 11 88
4 -> 12 80
4 -> 13 343
4 -> 14 263
4 -> 15 33
4 -> 16 4
4 -> 17 292
4 -> 18 159
4 -> 19 238
5 -> 0 212
5 -> 1 57
5 -> 2 364
5 -> 3 315
5 -> 4 312
5 -> 6 286
5 -> 7 322
5 -> 8 129
5 -> 9 261
5 -> 10 45
5 -> 11 258
5 -> 12 352
5 -> 13 14
5 -> 14 28
5 -> 15 38
5 -> 16 334
5 -> 17 386
5 -> 18 296
5 -> 19 18
6 -> 0 399
6 -> 1 180
6 -> 2 394
6 -> 3 396
6 -> 4 146
6 -> 5 302
6 -> 7 227
6 -> 8 341
6 -> 9 337
6 -> 10 110
6 -> 11 398
6 -> 12 365
6 -> 13 367
6 -> 14 130
