start in 0
0 -> 1 36
0 -> 2 69
0 -> 3 72
0 -> 4 4
0 -> 5 71
0 -> 6 37
0 -> 7 47
0 -> 8 61
0 -> 9 89
1 -> 0 8
1 -> 2 50
1 -> 3 85
1 -> 4 97
1 -> 5 64
1 -> 6 65
1 -> 7 80
1 -> 8 87
1 -> 9 44
2 -> 0 67
2 -> 1 30
2 -> 3 40
2 -> 4 53
2 -> 5 1
2 -> 6 82
2 -> 7 83
2 -> 8 90
2 -> 9 56
3 -> 0 94
3 -> 1 38
3 -> 2 98
3 -> 4 25
3 -> 5 39
3 -> 6 88
3 -> 7 59
3 -> 8 100
3 -> 9 74
4 -> 0 12
4 -> 1 28
4 -> 2 19
4 -> 3 26
4 -> 5 99
4 -> 6 86
4 -> 7 41
4 -> 8 60
4 -> 9 20
5 -> 0 48
5 -> 1 58
5 -> 2 45
5 -> 3 96
5 -> 4 3
5 -> 6 7
5 -> 7 66
5 -> 8 52
5 -> 9 9
6 -> 0 32
6 -> 1 51
6 -> 2 16
6 -> 3 15
6 -> 4 13
6 -> 5 35
6 -> 7 70
6 -> 8 78
6 -> 9 29
7 -> 0 57
7 -> 1 63
7 -> 2 91
7 -> 3 10
7 -> 4 81
7 -> 5 17
7 -> 6 62
7 -> 8 11
7 -> 9 84
8 -> 0 68
8 -> 1 21
8 -> 2 79
8 -> 3 95
8 -> 4 34
8 -> 5 33
8 -> 6 92
8 -> 7 43
8 -> 9 75
9 -> 0 14
9 -> 1 54
9 -> 2 31
9 -> 3 5
9 -> 4 93
9 -> 5 46
9 -> 6 76
9 -> 7 6
9 -> 8 27
