start in 8
0 -> 1 144
0 -> 2 217
0 -> 3 129
0 -> 4 116
0 -> 5 248
0 -> 6 252
0 -> 7 91
0 -> 8 65
0 -> 9 160
0 -> 10 99
0 -> 11 197
0 -> 12 185
0 -> 13 212
0 -> 14 46
0 -> 15 55
0 -> 16 7
1 -> 0 38
1 -> 2 168
1 -> 3 125
1 -> 4 104
1 -> 5 64
1 -> 6 241
1 -> 7 273
1 -> 8 128
1 -> 9 108
1 -> 10 264
1 -> 11 270
1 -> 12 23
1 -> 13 68
1 -> 14 76
1 -> 15 189
1 -> 16 179
2 -> 0 146
2 -> 1 84
2 -> 3 34
2 -> 4 147
2 -> 5 152
2 -> 6 18
2 -> 7 41
2 -> 8 90
2 -> 9 228
2 -> 10 77
2 -> 11 106
2 -> 12 150
2 -> 13 25
2 -> 14 225
2 -> 15 33
2 -> 16 236
3 -> 0 74
3 -> 1 230
3 -> 2 12
3 -> 4 247
3 -> 5 40
3 -> 6 75
3 -> 7 52
3 -> 8 2
3 -> 9 86
3 -> 10 92
3 -> 11 137
3 -> 12 214
3 -> 13 141
3 -> 14 21
3 -> 15 48
3 -> 16 60
4 -> 0 165
4 -> 1 58
4 -> 2 19
4 -> 3 136
4 -> 5 157
4 -> 6 227
4 -> 7 242
4 -> 8 215
4 -> 9 97
4 -> 10 244
4 -> 11 140
4 -> 12 145
4 -> 13 20
4 -> 14 30
4 -> 15 186
4 -> 16 28
5 -> 0 272
5 -> 1 203
5 -> 2 154
5 -> 3 11
5 -> 4 162
5 -> 6 50
5 -> 7 261
5 -> 8 17
5 -> 9 126
5 -> 10 172
5 -> 11 127
5 -> 12 115
5 -> 13 282
5 -> 14 183
5 -> 15 246
5 -> 16 176
6 -> 0 24
6 -> 1 120
6 -> 2 226
6 -> 3 103
6 -> 4 251
6 -> 5 200
6 -> 7 266
6 -> 8 283
6 -> 9 224
6 -> 10 213
6 -> 11 66
6 -> 12 15
6 -> 13 124
6 -> 14 88
6 -> 15 131
6 -> 16 142
7 -> 0 166
7 -> 1 61
7 -> 2 13
7 -> 3 195
7 -> 4 5
7 -> 5 36
7 -> 6 130
7 -> 8 117
7 -> 9 9
7 -> 10 289
7 -> 11 118
7 -> 12 275
7 -> 13 105
7 -> 14 167
7 -> 15 70
7 -> 16 170
8 -> 0 223
8 -> 1 102
8 -> 2 158
8 -> 3 253
8 -> 4 3
8 -> 5 259
8 -> 6 42
8 -> 7 98
8 -> 9 22
8 -> 10 280
8 -> 11 192
8 -> 12 81
8 -> 13 31
8 -> 14 89
8 -> 15 209
8 -> 16 143
9 -> 0 174
9 -> 1 112
9 -> 2 54
9 -> 3 181
9 -> 4 262
9 -> 5 169
9 -> 6 180
9 -> 7 85
9 -> 8 199
9 -> 10 258
9 -> 11 164
9 -> 12 216
9 -> 13 6
9 -> 14 63
9 -> 15 285
9 -> 16 267
10 -> 0 47
10 -> 1 35
10 -> 2 279
10 -> 3 177
10 -> 4 87
10 -> 5 53
10 -> 6 239
10 -> 7 202
10 -> 8 45
10 -> 9 178
10 -> 11 233
10 -> 12 232
10 -> 13 263
10 -> 14 161
10 -> 15 26
10 -> 16 190
11 -> 0 119
11 -> 1 193
11 -> 2 277
11 -> 3 111
11 -> 4 1
11 -> 5 222
11 -> 6 206
11 -> 7 182
11 -> 8 238
11 -> 9 257
11 -> 10 198
11 -> 12 271
11 -> 13 62
11 -> 14 80
11 -> 15 155
11 -> 16 211
12 -> 0 69
12 -> 1 49
12 -> 2 8
12 -> 3 260
12 -> 4 153
12 -> 5 51
12 -> 6 219
12 -> 7 57
12 -> 8 27
12 -> 9 240
12 -> 10 148
12 -> 11 173
12 -> 13 4
12 -> 14 32
12 -> 15 139
12 -> 16 134
13 -> 0 95
13 -> 1 269
13 -> 2 113
13 -> 3 205
13 -> 4 184
13 -> 5 276
13 -> 6 221
13 -> 7 235
13 -> 8 286
13 -> 9 151
13 -> 10 138
13 -> 11 83
13 -> 12 72
13 -> 14 14
13 -> 15 207
13 -> 16 156
14 -> 0 93
14 -> 1 234
14 -> 2 121
14 -> 3 149
14 -> 4 284
14 -> 5 278
14 -> 6 71
14 -> 7 82
14 -> 8 255
14 -> 9 59
14 -> 10 220
14 -> 11 171
14 -> 12 218
14 -> 13 196
14 -> 15 100
14 -> 16 78
15 -> 0 175
15 -> 1 43
15 -> 2 194
15 -> 3 191
15 -> 4 268
15 -> 5 133
15 -> 6 94
15 -> 7 101
15 -> 8 204
15 -> 9 107
15 -> 10 188
15 -> 11 254
15 -> 12 123
15 -> 13 208
15 -> 14 135
15 -> 16 245
16 -> 0 187
16 -> 1 109
16 -> 2 96
16 -> 3 39
16 -> 4 114
16 -> 5 132
16 -> 6 159
16 -> 7 10
16 -> 8 287
16 -> 9 265
16 -> 10 243
16 -> 11 29
16 -> 12 44
16 -> 13 16
16 -> 14 237
16 -> 15 288
