start in 3
0 -> 1 58
0 -> 2 4
0 -> 3 51
0 -> 4 60
0 -> 5 3
0 -> 6 13
0 -> 7 34
1 -> 0 9
1 -> 2 61
1 -> 3 63
1 -> 4 2
1 -> 5 57
1 -> 6 64
1 -> 7 50
2 -> 0 26
2 -> 1 30
2 -> 3 16
2 -> 4 32
2 -> 5 37
2 -> 6 22
2 -> 7 42
3 -> 0 49
3 -> 1 6
3 -> 2 11
3 -> 4 45
3 -> 5 35
3 -> 6 28
3 -> 7 38
4 -> 0 7
4 -> 1 27
4 -> 2 36
4 -> 3 29
4 -> 5 47
4 -> 6 21
4 -> 7 44
5 -> 0 39
5 -> 1 52
5 -> 2 19
5 -> 3 23
5 -> 4 8
5 -> 6 24
5 -> 7 14
6 -> 0 54
6 -> 1 62
6 -> 2 46
6 -> 3 43
6 -> 4 15
6 -> 5 1
6 -> 7 55
7 -> 0 5
7 -> 1 48
7 -> 2 20
7 -> 3 33
7 -> 4 12
7 -> 5 25
7 -> 6 18
