start in 12
0 -> 1 70
0 -> 2 108
0 -> 3 96
0 -> 4 4
0 -> 5 146
0 -> 6 18
0 -> 7 99
0 -> 8 127
0 -> 9 84
0 -> 10 30
0 -> 11 54
0 -> 12 52
1 -> 0 169
1 -> 2 50
1 -> 3 138
1 -> 4 73
1 -> 5 5
1 -> 6 134
1 -> 7 114
1 -> 8 65
1 -> 9 27
1 -> 10 59
1 -> 11 45
1 -> 12 79
2 -> 0 141
2 -> 1 12
2 -> 3 139
2 -> 4 104
2 -> 5 107
2 -> 6 6
2 -> 7 36
2 -> 8 106
2 -> 9 162
2 -> 10 56
2 -> 11 22
2 -> 12 46
3 -> 0 14
3 -> 1 83
3 -> 2 101
3 -> 4 165
3 -> 5 87
3 -> 6 160
3 -> 7 7
3 -> 8 129
3 -> 9 122
3 -> 10 154
3 -> 11 88
3 -> 12 95
4 -> 0 57
4 -> 1 142
4 -> 2 93
4 -> 3 28
4 -> 5 132
4 -> 6 78
4 -> 7 44
4 -> 8 125
4 -> 9 150
4 -> 10 66
4 -> 11 53
4 -> 12 26
5 -> 0 102
5 -> 1 61
5 -> 2 115
5 -> 3 25
5 -> 4 62
5 -> 6 21
5 -> 7 140
5 -> 8 1
5 -> 9 117
5 -> 10 105
5 -> 11 109
5 -> 12 49
6 -> 0 68
6 -> 1 13
6 -> 2 112
6 -> 3 149
6 -> 4 38
6 -> 5 31
6 -> 7 71
6 -> 8 20
6 -> 9 152
6 -> 10 77
6 -> 11 47
6 -> 12 33
7 -> 0 42
7 -> 1 74
7 -> 2 124
7 -> 3 97
7 -> 4 40
7 -> 5 67
7 -> 6 82
7 -> 8 164
7 -> 9 163
7 -> 10 85
7 -> 11 118
7 -> 12 168
8 -> 0 135
8 -> 1 17
8 -> 2 120
8 -> 3 2
8 -> 4 155
8 -> 5 32
8 -> 6 151
8 -> 7 39
8 -> 9 130
8 -> 10 29
8 -> 11 58
8 -> 12 167
9 -> 0 137
9 -> 1 86
9 -> 2 111
9 -> 3 92
9 -> 4 123
9 -> 5 143
9 -> 6 126
9 -> 7 75
9 -> 8 89
9 -> 10 131
9 -> 11 11
9 -> 12 15
10 -> 0 48
10 -> 1 69
10 -> 2 80
10 -> 3 91
10 -> 4 144
10 -> 5 98
10 -> 6 90
10 -> 7 37
10 -> 8 113
10 -> 9 72
10 -> 11 81
10 -> 12 16
11 -> 0 63
11 -> 1 51
11 -> 2 147
11 -> 3 119
11 -> 4 110
11 -> 5 55
11 -> 6 161
11 -> 7 103
11 -> 8 156
11 -> 9 157
11 -> 10 145
11 -> 12 116
12 -> 0 3
12 -> 1 166
12 -> 2 94
12 -> 3 133
12 -> 4 159
12 -> 5 148
12 -> 6 100
12 -> 7 76
12 -> 8 19
12 -> 9 136
12 -> 10 128
12 -> 11 60
