start in 8
0 -> 1 152
0 -> 2 60
0 -> 3 62
0 -> 4 182
0 -> 5 83
0 -> 6 170
0 -> 7 173
0 -> 8 14
0 -> 9 3
0 -> 10 117
0 -> 11 137
0 -> 12 90
0 -> 13 68
1 -> 0 165
1 -> 2 103
1 -> 3 87
1 -> 4 160
1 -> 5 123
1 -> 6 193
1 -> 7 39
1 -> 8 7
1 -> 9 18
1 -> 10 67
1 -> 11 179
1 -> 12 118
1 -> 13 79
2 -> 0 190
2 -> 1 71
2 -> 3 120
2 -> 4 95
2 -> 5 188
2 -> 6 85
2 -> 7 74
2 -> 8 80
2 -> 9 125
2 -> 10 94
2 -> 11 124
2 -> 12 97
2 -> 13 111
3 -> 0 138
3 -> 1 104
3 -> 2 96
3 -> 4 156
3 -> 5 127
3 -> 6 133
3 -> 7 65
3 -> 8 150
3 -> 9 115
3 -> 10 108
3 -> 11 57
3 -> 12 47
3 -> 13 30
4 -> 0 26
4 -> 1 106
4 -> 2 157
4 -> 3 31
4 -> 5 162
4 -> 6 151
4 -> 7 159
4 -> 8 114
4 -> 9 46
4 -> 10 101
4 -> 11 28
4 -> 12 45
4 -> 13 149
5 -> 0 92
5 -> 1 27
5 -> 2 163
5 -> 3 20
5 -> 4 73
5 -> 6 29
5 -> 7 191
5 -> 8 89
5 -> 9 15
5 -> 10 153
5 -> 11 36
5 -> 12 98
5 -> 13 78
6 -> 0 10
6 -> 1 131
6 -> 2 50
6 -> 3 38
6 -> 4 34
6 -> 5 86
6 -> 7 119
6 -> 8 140
6 -> 9 6
6 -> 10 189
6 -> 11 135
6 -> 12 195
6 -> 13 126
7 -> 0 172
7 -> 1 132
7 -> 2 23
7 -> 3 136
7 -> 4 84
7 -> 5 164
7 -> 6 21
7 -> 8 52
7 -> 9 147
7 -> 10 107
7 -> 11 66
7 -> 12 24
7 -> 13 139
8 -> 0 134
8 -> 1 194
8 -> 2 99
8 -> 3 130
8 -> 4 155
8 -> 5 196
8 -> 6 42
8 -> 7 158
8 -> 9 121
8 -> 10 109
8 -> 11 176
8 -> 12 110
8 -> 13 166
9 -> 0 169
9 -> 1 75
9 -> 2 37
9 -> 3 82
9 -> 4 51
9 -> 5 72
9 -> 6 69
9 -> 7 55
9 -> 8 88
9 -> 10 112
9 -> 11 113
9 -> 12 41
9 -> 13 122
10 -> 0 185
10 -> 1 64
10 -> 2 146
10 -> 3 25
10 -> 4 32
10 -> 5 40
10 -> 6 102
10 -> 7 4
10 -> 8 61
10 -> 9 167
10 -> 11 63
10 -> 12 184
10 -> 13 148
11 -> 0 105
11 -> 1 43
11 -> 2 53
11 -> 3 145
11 -> 4 186
11 -> 5 180
11 -> 6 17
11 -> 7 11
11 -> 8 168
11 -> 9 91
11 -> 10 142
11 -> 12 174
11 -> 13 13
12 -> 0 100
12 -> 1 44
12 -> 2 70
12 -> 3 154
12 -> 4 49
12 -> 5 9
12 -> 6 12
12 -> 7 143
12 -> 8 128
12 -> 9 35
12 -> 10 5
12 -> 11 1
12 -> 13 116
13 -> 0 93
13 -> 1 54
13 -> 2 56
13 -> 3 2
13 -> 4 183
13 -> 5 144
13 -> 6 81
13 -> 7 175
13 -> 8 19
13 -> 9 171
13 -> 10 16
13 -> 11 8
13 -> 12 33
