start in 3
0 -> 1 60
0 -> 2 63
0 -> 3 34
0 -> 4 62
0 -> 5 58
0 -> 6 70
0 -> 7 44
0 -> 8 1
1 -> 0 68
1 -> 2 71
1 -> 3 52
1 -> 4 10
1 -> 5 8
1 -> 6 25
1 -> 7 7
1 -> 8 77
2 -> 0 54
2 -> 1 23
2 -> 3 18
2 -> 4 16
2 -> 5 45
2 -> 6 17
2 -> 7 66
2 -> 8 27
3 -> 0 32
3 -> 1 56
3 -> 2 79
3 -> 4 15
3 -> 5 65
3 -> 6 35
3 -> 7 39
3 -> 8 6
4 -> 0 29
4 -> 1 73
4 -> 2 14
4 -> 3 41
4 -> 5 20
4 -> 6 72
4 -> 7 67
4 -> 8 31
5 -> 0 74
5 -> 1 28
5 -> 2 75
5 -> 3 55
5 -> 4 57
5 -> 6 5
5 -> 7 64
5 -> 8 49
6 -> 0 59
6 -> 1 33
6 -> 2 76
6 -> 3 13
6 -> 4 30
6 -> 5 78
6 -> 7 38
6 -> 8 42
7 -> 0 26
7 -> 1 40
7 -> 2 80
7 -> 3 12
7 -> 4 47
7 -> 5 46
7 -> 6 51
7 -> 8 22
8 -> 0 11
8 -> 1 43
8 -> 2 21
8 -> 3 81
8 -> 4 36
8 -> 5 19
8 -> 6 48
8 -> 7 9
