start in 3
0 -> 1 23
0 -> 2 25
0 -> 3 1
0 -> 4 45
0 -> 5 10
0 -> 6 68
0 -> 7 179
0 -> 8 216
0 -> 9 267
0 -> 10 263
0 -> 11 308
0 -> 12 136
0 -> 13 361
0 -> 14 55
0 -> 15 238
0 -> 16 274
0 -> 17 289
0 -> 18 151
1 -> 0 149
1 -> 2 345
1 -> 3 207
1 -> 4 69
1 -> 5 144
1 -> 6 301
1 -> 7 166
1 -> 8 75
1 -> 9 249
1 -> 10 320
1 -> 11 299
1 -> 12 81
1 -> 13 127
1 -> 14 283
1 -> 15 305
1 -> 16 279
1 -> 17 271
1 -> 18 148
2 -> 0 183
2 -> 1 167
2 -> 3 252
2 -> 4 34
2 -> 5 160
2 -> 6 336
2 -> 7 35
2 -> 8 203
2 -> 9 300
2 -> 10 333
2 -> 11 352
2 -> 12 344
2 -> 13 288
2 -> 14 205
2 -> 15 295
2 -> 16 128
2 -> 17 164
2 -> 18 222
3 -> 0 194
3 -> 1 221
3 -> 2 312
3 -> 4 286
3 -> 5 264
3 -> 6 89
3 -> 7 88
3 -> 8 67
3 -> 9 214
3 -> 10 255
3 -> 11 18
3 -> 12 342
3 -> 13 56
3 -> 14 57
3 -> 15 141
3 -> 16 49
3 -> 17 278
3 -> 18 246
4 -> 0 319
4 -> 1 42
4 -> 2 17
4 -> 3 215
4 -> 5 98
4 -> 6 6
4 -> 7 162
4 -> 8 13
4 -> 9 180
4 -> 10 348
4 -> 11 40
4 -> 12 77
4 -> 13 157
4 -> 14 70
4 -> 15 296
4 -> 16 66
4 -> 17 195
4 -> 18 65
5 -> 0 147
5 -> 1 93
5 -> 2 211
5 -> 3 131
5 -> 4 62
5 -> 6 130
5 -> 7 165
5 -> 8 332
5 -> 9 330
5 -> 10 86
5 -> 11 313
5 -> 12 327
5 -> 13 298
5 -> 14 123
5 -> 15 145
5 -> 16 53
5 -> 17 228
5 -> 18 191
6 -> 0 46
6 -> 1 150
6 -> 2 323
6 -> 3 281
6 -> 4 317
6 -> 5 241
6 -> 7 52
6 -> 8 5
6 -> 9 184
6 -> 10 24
6 -> 11 97
6 -> 12 169
6 -> 13 261
6 -> 14 106
6 -> 15 63
6 -> 16 269
6 -> 17 104
6 -> 18 248
7 -> 0 101
7 -> 1 103
7 -> 2 21
7 -> 3 254
7 -> 4 217
7 -> 5 115
7 -> 6 245
7 -> 8 185
7 -> 9 139
7 -> 10 33
7 -> 11 276
7 -> 12 356
7 -> 13 4
7 -> 14 112
7 -> 15 265
7 -> 16 16
7 -> 17 22
7 -> 18 293
8 -> 0 117
8 -> 1 340
8 -> 2 304
8 -> 3 119
8 -> 4 64
8 -> 5 306
8 -> 6 337
8 -> 7 290
8 -> 9 138
8 -> 10 172
8 -> 11 3
8 -> 12 29
8 -> 13 176
8 -> 14 7
8 -> 15 137
8 -> 16 72
8 -> 17 200
8 -> 18 87
9 -> 0 258
9 -> 1 32
9 -> 2 181
9 -> 3 73
9 -> 4 156
9 -> 5 114
9 -> 6 349
9 -> 7 213
9 -> 8 80
9 -> 10 309
9 -> 11 251
9 -> 12 218
9 -> 13 329
9 -> 14 240
9 -> 15 334
9 -> 16 59
9 -> 17 188
9 -> 18 100
10 -> 0 11
10 -> 1 198
10 -> 2 322
10 -> 3 92
10 -> 4 204
10 -> 5 232
10 -> 6 159
10 -> 7 220
10 -> 8 321
10 -> 9 83
10 -> 11 247
10 -> 12 58
10 -> 13 324
10 -> 14 96
10 -> 15 158
10 -> 16 196
10 -> 17 132
10 -> 18 61
11 -> 0 171
11 -> 1 78
11 -> 2 111
11 -> 3 37
11 -> 4 310
11 -> 5 307
11 -> 6 126
11 -> 7 60
11 -> 8 226
11 -> 9 178
11 -> 10 294
11 -> 12 233
11 -> 13 208
11 -> 14 192
