start in 9
0 -> 1 8
0 -> 2 51
0 -> 3 52
0 -> 4 103
0 -> 5 113
0 -> 6 33
0 -> 7 38
0 -> 8 100
0 -> 9 96
0 -> 10 108
1 -> 0 18
1 -> 2 40
1 -> 3 111
1 -> 4 2
1 -> 5 29
1 -> 6 65
1 -> 7 50
1 -> 8 35
1 -> 9 66
1 -> 10 54
2 -> 0 4
2 -> 1 6
2 -> 3 20
2 -> 4 93
2 -> 5 1
2 -> 6 23
2 -> 7 102
2 -> 8 9
2 -> 9 67
2 -> 10 28
3 -> 0 17
3 -> 1 106
3 -> 2 43
3 -> 4 78
3 -> 5 89
3 -> 6 87
3 -> 7 77
3 -> 8 36
3 -> 9 91
3 -> 10 12
4 -> 0 22
4 -> 1 99
4 -> 2 73
4 -> 3 69
4 -> 5 62
4 -> 6 86
4 -> 7 120
4 -> 8 56
4 -> 9 32
4 -> 10 109
5 -> 0 55
5 -> 1 116
5 -> 2 98
5 -> 3 112
5 -> 4 105
5 -> 6 26
5 -> 7 10
5 -> 8 94
5 -> 9 61
5 -> 10 64
6 -> 0 83
6 -> 1 71
6 -> 2 27
6 -> 3 85
6 -> 4 60
6 -> 5 25
6 -> 7 101
6 -> 8 5
6 -> 9 118
6 -> 10 76
7 -> 0 110
7 -> 1 48
7 -> 2 58
7 -> 3 117
7 -> 4 107
7 -> 5 63
7 -> 6 119
7 -> 8 44
7 -> 9 47
7 -> 10 7
8 -> 0 82
8 -> 1 45
8 -> 2 37
8 -> 3 53
8 -> 4 16
8 -> 5 49
8 -> 6 39
8 -> 7 70
8 -> 9 97
8 -> 10 74
9 -> 0 21
9 -> 1 14
9 -> 2 68
9 -> 3 114
9 -> 4 30
9 -> 5 42
9 -> 6 90
9 -> 7 15
9 -> 8 115
9 -> 10 57
10 -> 0 81
10 -> 1 3
10 -> 2 72
10 -> 3 11
10 -> 4 19
10 -> 5 104
10 -> 6 80
10 -> 7 31
10 -> 8 84
10 -> 9 75
