start in 7
0 -> 1 146
0 -> 2 182
0 -> 3 24
0 -> 4 174
0 -> 5 14
0 -> 6 101
0 -> 7 199
0 -> 8 111
0 -> 9 67
0 -> 10 48
0 -> 11 51
0 -> 12 198
0 -> 13 73
0 -> 14 49
1 -> 0 149
1 -> 2 25
1 -> 3 135
1 -> 4 152
1 -> 5 9
1 -> 6 40
1 -> 7 140
1 -> 8 12
1 -> 9 190
1 -> 10 161
1 -> 11 16
1 -> 12 61
1 -> 13 157
1 -> 14 130
2 -> 0 54
2 -> 1 93
2 -> 3 208
2 -> 4 39
2 -> 5 89
2 -> 6 57
2 -> 7 7
2 -> 8 129
2 -> 9 203
2 -> 10 122
2 -> 11 206
2 -> 12 84
2 -> 13 141
2 -> 14 126
3 -> 0 164
3 -> 1 43
3 -> 2 142
3 -> 4 87
3 -> 5 103
3 -> 6 4
3 -> 7 167
3 -> 8 125
3 -> 9 118
3 -> 10 195
3 -> 11 88
3 -> 12 121
3 -> 13 109
3 -> 14 219
4 -> 0 94
4 -> 1 100
4 -> 2 148
4 -> 3 37
4 -> 5 191
4 -> 6 211
4 -> 7 119
4 -> 8 173
4 -> 9 194
4 -> 10 5
4 -> 11 112
4 -> 12 204
4 -> 13 160
4 -> 14 17
5 -> 0 196
5 -> 1 55
5 -> 2 66
5 -> 3 221
5 -> 4 71
5 -> 6 29
5 -> 7 22
5 -> 8 156
5 -> 9 200
5 -> 10 131
5 -> 11 115
5 -> 12 128
5 -> 13 147
5 -> 14 52
6 -> 0 110
6 -> 1 50
6 -> 2 155
6 -> 3 150
6 -> 4 74
6 -> 5 136
6 -> 7 23
6 -> 8 90
6 -> 9 166
6 -> 10 137
6 -> 11 28
6 -> 12 185
6 -> 13 108
6 -> 14 75
7 -> 0 143
7 -> 1 186
7 -> 2 68
7 -> 3 175
7 -> 4 80
7 -> 5 10
7 -> 6 113
7 -> 8 159
7 -> 9 163
7 -> 10 36
7 -> 11 44
7 -> 12 162
7 -> 13 30
7 -> 14 99
8 -> 0 165
8 -> 1 189
8 -> 2 98
8 -> 3 151
8 -> 4 70
8 -> 5 19
8 -> 6 188
8 -> 7 76
8 -> 9 85
8 -> 10 18
8 -> 11 32
8 -> 12 224
8 -> 13 181
8 -> 14 171
9 -> 0 83
9 -> 1 225
9 -> 2 123
9 -> 3 60
9 -> 4 102
9 -> 5 97
9 -> 6 202
9 -> 7 213
9 -> 8 79
9 -> 10 86
9 -> 11 58
9 -> 12 215
9 -> 13 114
9 -> 14 170
10 -> 0 77
10 -> 1 201
10 -> 2 65
10 -> 3 38
10 -> 4 168
10 -> 5 120
10 -> 6 8
10 -> 7 95
10 -> 8 154
10 -> 9 46
10 -> 11 145
10 -> 12 33
10 -> 13 106
10 -> 14 153
11 -> 0 35
11 -> 1 178
11 -> 2 177
11 -> 3 96
11 -> 4 192
11 -> 5 124
11 -> 6 207
11 -> 7 62
11 -> 8 104
11 -> 9 209
11 -> 10 116
11 -> 12 183
11 -> 13 42
11 -> 14 91
12 -> 0 184
12 -> 1 172
12 -> 2 13
12 -> 3 210
12 -> 4 53
12 -> 5 107
12 -> 6 56
12 -> 7 127
12 -> 8 187
12 -> 9 138
12 -> 10 63
12 -> 11 133
12 -> 13 132
12 -> 14 139
13 -> 0 2
13 -> 1 197
13 -> 2 45
13 -> 3 212
13 -> 4 214
13 -> 5 176
13 -> 6 47
13 -> 7 134
13 -> 8 78
13 -> 9 144
13 -> 10 41
13 -> 11 222
13 -> 12 72
13 -> 14 158
14 -> 0 223
14 -> 1 169
14 -> 2 180
14 -> 3 69
14 -> 4 220
14 -> 5 217
14 -> 6 81
14 -> 7 193
14 -> 8 21
14 -> 9 92
14 -> 10 3
14 -> 11 179
14 -> 12 59
14 -> 13 82
