start in 4
0 -> 1 64
0 -> 2 1
0 -> 3 22
0 -> 4 24
0 -> 5 57
0 -> 6 13
0 -> 7 11
0 -> 8 60
0 -> 9 56
0 -> 10 43
0 -> 11 42
1 -> 2 26
1 -> 3 48
1 -> 4 49
1 -> 5 36
1 -> 6 19
1 -> 7 31
1 -> 8 20
1 -> 9 51
1 -> 10 23
1 -> 11 46
2 -> 3 44
2 -> 4 47
2 -> 5 17
2 -> 6 8
2 -> 7 4
2 -> 8 45
2 -> 9 66
2 -> 10 18
2 -> 11 3
3 -> 4 7
3 -> 5 40
3 -> 6 9
3 -> 7 30
3 -> 8 50
3 -> 9 61
3 -> 10 37
3 -> 11 5
4 -> 5 29
4 -> 6 54
4 -> 7 41
4 -> 8 10
4 -> 9 39
4 -> 10 52
4 -> 11 15
5 -> 6 33
5 -> 7 34
5 -> 8 28
5 -> 9 6
5 -> 10 38
5 -> 11 53
6 -> 7 63
6 -> 8 12
6 -> 9 21
6 -> 10 62
6 -> 11 32
7 -> 8 27
7 -> 9 16
7 -> 10 35
7 -> 11 14
8 -> 9 58
8 -> 10 59
8 -> 11 2
9 -> 10 55
9 -> 11 65
10 -> 11 25
