start in 1
0 -> 1 33
0 -> 2 116
0 -> 3 70
0 -> 4 12
0 -> 5 35
0 -> 6 19
0 -> 7 121
0 -> 8 82
0 -> 9 62
0 -> 10 2
0 -> 11 13
0 -> 12 39
0 -> 13 128
0 -> 14 9
0 -> 15 101
0 -> 16 134
1 -> 2 91
1 -> 3 50
1 -> 4 113
1 -> 5 41
1 -> 6 43
1 -> 7 130
1 -> 8 126
1 -> 9 131
1 -> 10 109
1 -> 11 49
1 -> 12 37
1 -> 13 107
1 -> 14 23
1 -> 15 57
1 -> 16 129
2 -> 3 102
2 -> 4 120
2 -> 5 69
2 -> 6 111
2 -> 7 48
2 -> 8 65
2 -> 9 136
2 -> 10 20
2 -> 11 86
2 -> 12 17
2 -> 13 114
2 -> 14 15
2 -> 15 18
2 -> 16 97
3 -> 4 45
3 -> 5 132
3 -> 6 133
3 -> 7 75
3 -> 8 52
3 -> 9 64
3 -> 10 54
3 -> 11 94
3 -> 12 92
3 -> 13 53
3 -> 14 135
3 -> 15 7
3 -> 16 55
4 -> 5 83
4 -> 6 58
4 -> 7 123
4 -> 8 5
4 -> 9 27
4 -> 10 90
4 -> 11 71
4 -> 12 88
4 -> 13 78
4 -> 14 84
4 -> 15 119
4 -> 16 110
5 -> 6 67
5 -> 7 10
5 -> 8 85
5 -> 9 1
5 -> 10 11
5 -> 11 32
5 -> 12 34
5 -> 13 56
5 -> 14 38
5 -> 15 103
5 -> 16 26
6 -> 7 21
6 -> 8 99
6 -> 9 30
6 -> 10 42
6 -> 11 104
6 -> 12 25
6 -> 13 6
6 -> 14 73
6 -> 15 117
6 -> 16 95
7 -> 8 89
7 -> 9 3
7 -> 10 98
7 -> 11 24
7 -> 12 79
7 -> 13 122
7 -> 14 93
7 -> 15 14
7 -> 16 125
8 -> 9 4
8 -> 10 8
8 -> 11 106
8 -> 12 44
8 -> 13 59
8 -> 14 68
8 -> 15 31
8 -> 16 47
9 -> 10 96
9 -> 11 63
9 -> 12 100
9 -> 13 127
9 -> 14 66
9 -> 15 76
9 -> 16 77
10 -> 11 22
10 -> 12 29
10 -> 13 124
10 -> 14 105
10 -> 15 46
10 -> 16 74
11 -> 12 87
11 -> 13 72
11 -> 14 112
11 -> 15 81
11 -> 16 118
12 -> 13 60
12 -> 14 115
12 -> 15 36
12 -> 16 40
13 -> 14 16
13 -> 15 61
13 -> 16 80
14 -> 15 108
14 -> 16 28
15 -> 16 51
