start in 9
0 -> 1 11
0 -> 2 8
0 -> 3 54
0 -> 4 53
0 -> 5 94
0 -> 6 20
0 -> 7 42
0 -> 8 102
0 -> 9 51
0 -> 10 97
0 -> 11 37
0 -> 12 5
0 -> 13 21
0 -> 14 59
1 -> 2 1
1 -> 3 15
1 -> 4 24
1 -> 5 7
1 -> 6 36
1 -> 7 13
1 -> 8 14
1 -> 9 75
1 -> 10 38
1 -> 11 60
1 -> 12 18
1 -> 13 80
1 -> 14 62
2 -> 3 79
2 -> 4 65
2 -> 5 2
2 -> 6 92
2 -> 7 55
2 -> 8 19
2 -> 9 25
2 -> 10 93
2 -> 11 46
2 -> 12 31
2 -> 13 32
2 -> 14 50
3 -> 4 86
3 -> 5 91
3 -> 6 12
3 -> 7 70
3 -> 8 98
3 -> 9 61
3 -> 10 35
3 -> 11 64
3 -> 12 96
3 -> 13 6
3 -> 14 30
4 -> 5 101
4 -> 6 68
4 -> 7 39
4 -> 8 22
4 -> 9 83
4 -> 10 57
4 -> 11 9
4 -> 12 95
4 -> 13 49
4 -> 14 3
5 -> 6 40
5 -> 7 27
5 -> 8 105
5 -> 9 71
5 -> 10 73
5 -> 11 72
5 -> 12 87
5 -> 13 4
5 -> 14 23
6 -> 7 82
6 -> 8 45
6 -> 9 44
6 -> 10 81
6 -> 11 103
6 -> 12 52
6 -> 13 17
6 -> 14 88
7 -> 8 84
7 -> 9 66
7 -> 10 29
7 -> 11 28
7 -> 12 63
7 -> 13 69
7 -> 14 85
8 -> 9 89
8 -> 10 48
8 -> 11 43
8 -> 12 33
8 -> 13 90
8 -> 14 41
9 -> 10 56
9 -> 11 47
9 -> 12 74
9 -> 13 10
9 -> 14 58
10 -> 11 104
10 -> 12 34
10 -> 13 78
10 -> 14 67
11 -> 12 100
11 -> 13 26
11 -> 14 16
12 -> 13 76
12 -> 14 99
13 -> 14 77
