start in 1
0 -> 1 1
0 -> 2 38
0 -> 3 30
0 -> 4 43
0 -> 5 15
0 -> 6 21
0 -> 7 33
0 -> 8 32
0 -> 9 16
0 -> 10 7
1 -> 2 10
1 -> 3 23
1 -> 4 54
1 -> 5 39
1 -> 6 37
1 -> 7 8
1 -> 8 51
1 -> 9 22
1 -> 10 4
2 -> 3 42
2 -> 4 55
2 -> 5 20
2 -> 6 18
2 -> 7 12
2 -> 8 40
2 -> 9 26
2 -> 10 25
3 -> 4 46
3 -> 5 28
3 -> 6 36
3 -> 7 31
3 -> 8 3
3 -> 9 49
3 -> 10 53
4 -> 5 24
4 -> 6 13
4 -> 7 29
4 -> 8 34
4 -> 9 19
4 -> 10 11
5 -> 6 45
5 -> 7 44
5 -> 8 5
5 -> 9 52
5 -> 10 35
6 -> 7 41
6 -> 8 2
6 -> 9 6
6 -> 10 17
7 -> 8 14
7 -> 9 9
7 -> 10 47
8 -> 9 50
8 -> 10 48
9 -> 10 27
