start in 0
0 -> 1 115
0 -> 2 3
0 -> 3 90
0 -> 4 119
0 -> 5 36
0 -> 6 106
0 -> 7 93
0 -> 8 12
0 -> 9 81
0 -> 10 87
0 -> 11 47
0 -> 12 27
0 -> 13 29
0 -> 14 10
0 -> 15 20
1 -> 2 51
1 -> 3 85
1 -> 4 88
1 -> 5 62
1 -> 6 54
1 -> 7 73
1 -> 8 104
1 -> 9 19
1 -> 10 74
1 -> 11 28
1 -> 12 86
1 -> 13 66
1 -> 14 67
1 -> 15 63
2 -> 3 111
2 -> 4 55
2 -> 5 100
2 -> 6 48
2 -> 7 4
2 -> 8 8
2 -> 9 61
2 -> 10 102
2 -> 11 109
2 -> 12 76
2 -> 13 31
2 -> 14 25
2 -> 15 1
3 -> 4 71
3 -> 5 7
3 -> 6 13
3 -> 7 15
3 -> 8 35
3 -> 9 110
3 -> 10 97
3 -> 11 99
3 -> 12 32
3 -> 13 92
3 -> 14 24
3 -> 15 70
4 -> 5 65
4 -> 6 17
4 -> 7 60
4 -> 8 5
4 -> 9 91
4 -> 10 78
4 -> 11 43
4 -> 12 103
4 -> 13 64
4 -> 14 21
4 -> 15 72
5 -> 6 16
5 -> 7 77
5 -> 8 37
5 -> 9 69
5 -> 10 9
5 -> 11 84
5 -> 12 50
5 -> 13 45
5 -> 14 14
5 -> 15 6
6 -> 7 18
6 -> 8 117
6 -> 9 116
6 -> 10 118
6 -> 11 96
6 -> 12 23
6 -> 13 83
6 -> 14 120
6 -> 15 26
7 -> 8 34
7 -> 9 114
7 -> 10 82
7 -> 11 33
7 -> 12 2
7 -> 13 52
7 -> 14 59
7 -> 15 108
8 -> 9 79
8 -> 10 56
8 -> 11 105
8 -> 12 113
8 -> 13 49
8 -> 14 101
8 -> 15 94
9 -> 10 57
9 -> 11 30
9 -> 12 22
9 -> 13 95
9 -> 14 58
9 -> 15 68
10 -> 11 53
10 -> 12 80
10 -> 13 112
10 -> 14 40
10 -> 15 75
11 -> 12 98
11 -> 13 89
11 -> 14 107
11 -> 15 42
12 -> 13 38
12 -> 14 11
12 -> 15 41
13 -> 14 44
13 -> 15 46
14 -> 15 39
