start in 0
0 -> 1 110
0 -> 2 109
0 -> 3 62
0 -> 4 195
0 -> 5 193
0 -> 6 59
0 -> 7 260
0 -> 8 160
0 -> 9 81
0 -> 10 278
0 -> 11 286
0 -> 12 203
0 -> 13 125
0 -> 14 86
0 -> 15 16
0 -> 16 233
0 -> 17 234
1 -> 0 153
1 -> 2 248
1 -> 3 35
1 -> 4 320
1 -> 5 196
1 -> 6 304
1 -> 7 277
1 -> 8 27
1 -> 9 204
1 -> 10 108
1 -> 11 29
1 -> 12 239
1 -> 13 49
1 -> 14 15
1 -> 15 217
1 -> 16 55
1 -> 17 252
2 -> 0 151
2 -> 1 225
2 -> 3 297
2 -> 4 75
2 -> 5 4
2 -> 6 90
2 -> 7 187
2 -> 8 241
2 -> 9 104
2 -> 10 24
2 -> 11 289
2 -> 12 264
2 -> 13 306
2 -> 14 245
2 -> 15 177
2 -> 16 105
2 -> 17 148
3 -> 0 283
3 -> 1 247
3 -> 2 210
3 -> 4 183
3 -> 5 263
3 -> 6 64
3 -> 7 170
3 -> 8 280
3 -> 9 101
3 -> 10 240
3 -> 11 250
3 -> 12 42
3 -> 13 74
3 -> 14 47
3 -> 15 281
3 -> 16 124
3 -> 17 294
4 -> 0 173
4 -> 1 232
4 -> 2 139
4 -> 3 254
4 -> 5 166
4 -> 6 136
4 -> 7 78
4 -> 8 311
4 -> 9 267
4 -> 10 227
4 -> 11 94
4 -> 12 19
4 -> 13 189
4 -> 14 85
4 -> 15 313
4 -> 16 279
4 -> 17 180
5 -> 0 82
5 -> 1 21
5 -> 2 223
5 -> 3 102
5 -> 4 54
5 -> 6 132
5 -> 7 165
5 -> 8 300
5 -> 9 158
5 -> 10 171
5 -> 11 45
5 -> 12 197
5 -> 13 269
5 -> 14 194
5 -> 15 296
5 -> 16 249
5 -> 17 1
6 -> 0 145
6 -> 1 96
6 -> 2 276
6 -> 3 238
6 -> 4 135
6 -> 5 184
6 -> 7 167
6 -> 8 130
6 -> 9 150
6 -> 10 20
6 -> 11 115
6 -> 12 323
6 -> 13 308
6 -> 14 202
6 -> 15 137
6 -> 16 265
6 -> 17 138
7 -> 0 18
7 -> 1 255
7 -> 2 39
7 -> 3 127
7 -> 4 266
7 -> 5 213
7 -> 6 67
7 -> 8 112
7 -> 9 128
7 -> 10 58
7 -> 11 22
7 -> 12 162
7 -> 13 118
7 -> 14 242
7 -> 15 30
7 -> 16 93
7 -> 17 315
8 -> 0 155
8 -> 1 243
8 -> 2 152
8 -> 3 226
8 -> 4 131
8 -> 5 41
8 -> 6 87
8 -> 7 231
8 -> 9 168
8 -> 10 66
8 -> 11 218
8 -> 12 182
8 -> 13 259
8 -> 14 107
8 -> 15 43
8 -> 16 65
8 -> 17 214
9 -> 0 14
9 -> 1 95
9 -> 2 228
9 -> 3 92
9 -> 4 229
9 -> 5 48
9 -> 6 192
9 -> 7 111
9 -> 8 237
9 -> 10 253
9 -> 11 314
9 -> 12 208
9 -> 13 146
9 -> 14 99
9 -> 15 8
9 -> 16 169
9 -> 17 134
10 -> 0 50
10 -> 1 256
10 -> 2 312
10 -> 3 71
10 -> 4 100
10 -> 5 319
10 -> 6 129
10 -> 7 199
10 -> 8 60
10 -> 9 113
10 -> 11 292
10 -> 12 91
10 -> 13 161
10 -> 14 303
10 -> 15 164
10 -> 16 126
10 -> 17 290
11 -> 0 321
11 -> 1 119
11 -> 2 11
11 -> 3 163
11 -> 4 80
11 -> 5 6
11 -> 6 301
11 -> 7 174
11 -> 8 5
11 -> 9 33
11 -> 10 191
11 -> 12 305
11 -> 13 120
11 -> 14 25
11 -> 15 140
11 -> 16 73
11 -> 17 322
12 -> 0 220
12 -> 1 13
12 -> 2 219
12 -> 3 262
12 -> 4 272
12 -> 5 149
12 -> 6 68
12 -> 7 275
12 -> 8 215
12 -> 9 316
12 -> 10 216
12 -> 11 181
12 -> 13 106
12 -> 14 302
12 -> 15 17
12 -> 16 274
12 -> 17 287
13 -> 0 88
13 -> 1 40
13 -> 2 77
13 -> 3 230
13 -> 4 31
13 -> 5 246
13 -> 6 235
13 -> 7 212
13 -> 8 222
13 -> 9 84
13 -> 10 122
13 -> 11 159
13 -> 12 271
13 -> 14 56
13 -> 15 154
13 -> 16 97
13 -> 17 36
14 -> 0 288
14 -> 1 201
14 -> 2 28
14 -> 3 98
14 -> 4 299
14 -> 5 121
14 -> 6 61
14 -> 7 324
14 -> 8 63
14 -> 9 205
14 -> 10 3
14 -> 11 200
14 -> 12 76
14 -> 13 176
14 -> 15 178
14 -> 16 23
14 -> 17 52
15 -> 0 307
15 -> 1 207
15 -> 2 270
15 -> 3 236
15 -> 4 318
15 -> 5 103
15 -> 6 10
15 -> 7 309
15 -> 8 298
15 -> 9 114
15 -> 10 69
15 -> 11 261
15 -> 12 221
15 -> 13 38
15 -> 14 57
15 -> 16 244
15 -> 17 7
16 -> 0 190
16 -> 1 258
16 -> 2 37
16 -> 3 12
16 -> 4 285
16 -> 5 79
16 -> 6 116
16 -> 7 310
16 -> 8 293
16 -> 9 198
16 -> 10 9
16 -> 11 51
16 -> 12 34
16 -> 13 117
16 -> 14 224
16 -> 15 273
16 -> 17 44
17 -> 0 291
17 -> 1 133
17 -> 2 172
17 -> 3 89
17 -> 4 32
17 -> 5 157
17 -> 6 141
17 -> 7 284
17 -> 8 209
17 -> 9 211
17 -> 10 257
17 -> 11 46
17 -> 12 206
17 -> 13 70
17 -> 14 72
17 -> 15 53
17 -> 16 268
