start in 9
0 -> 1 5
0 -> 2 2
0 -> 3 53
0 -> 4 59
0 -> 5 4
0 -> 6 58
0 -> 7 40
0 -> 8 8
0 -> 9 23
0 -> 10 3
0 -> 11 74
0 -> 12 32
0 -> 13 67
1 -> 2 70
1 -> 3 13
1 -> 4 80
1 -> 5 35
1 -> 6 64
1 -> 7 51
1 -> 8 45
1 -> 9 77
1 -> 10 41
1 -> 11 36
1 -> 12 44
1 -> 13 14
2 -> 3 18
2 -> 4 27
2 -> 5 54
2 -> 6 42
2 -> 7 52
2 -> 8 55
2 -> 9 19
2 -> 10 88
2 -> 11 24
2 -> 12 25
2 -> 13 7
3 -> 4 91
3 -> 5 78
3 -> 6 33
3 -> 7 63
3 -> 8 61
3 -> 9 66
3 -> 10 68
3 -> 11 28
3 -> 12 31
3 -> 13 15
4 -> 5 50
4 -> 6 90
4 -> 7 69
4 -> 8 26
4 -> 9 49
4 -> 10 87
4 -> 11 46
4 -> 12 48
4 -> 13 86
5 -> 6 11
5 -> 7 16
5 -> 8 57
5 -> 9 72
5 -> 10 47
5 -> 11 60
5 -> 12 38
5 -> 13 85
6 -> 7 89
6 -> 8 83
6 -> 9 21
6 -> 10 65
6 -> 11 79
6 -> 12 62
6 -> 13 10
7 -> 8 71
7 -> 9 81
7 -> 10 56
7 -> 11 37
7 -> 12 29
7 -> 13 75
8 -> 9 22
8 -> 10 73
8 -> 11 30
8 -> 12 43
8 -> 13 84
9 -> 10 34
9 -> 11 20
9 -> 12 9
9 -> 13 1
10 -> 11 39
10 -> 12 76
10 -> 13 12
11 -> 12 82
11 -> 13 6
12 -> 13 17
